,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　,0歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女
92年,17232,15457,11810,10934,10525,9397,12938,11960,8567,7662,12660,11742,2346,2139,3007,2816,3209,2725,7533,6755,2777,2539,4491,3881,3259,3038,4467,4239,1314,1143,1762,1561,549,446,1705,1481,2287,2092,1165,1066,359,323,56,42,19141,17331,13864,12709,11895,10844,15180,13917,9466,8620,14351,13154,2581,2378,3471,3082,3636,3159,8269,7486,3216,3025,4638,4329,3602,3298,5058,4726,1469,1408,1954,1763,532,504,1945,1774,2685,2338,1380,1230,398,330,56,49,20097,18459,14283,13387,12432,11354,16122,15000,9962,9347,14898,13715,2722,2519,3575,3092,3571,3237,8359,7765,3336,3108,4853,4350,3644,3325,5182,4901,1522,1380,2018,1895,573,516,2063,1820,2705,2427,1480,1345,402,364,47,48,24135,22351,17673,16295,14984,13526,19190,17798,12058,11186,18609,16928,3188,2870,3890,3661,3915,3659,9852,8728,3630,3428,5523,4940,4312,3747,6178,5607,1684,1572,2317,2151,640,571,2553,2393,3094,2816,1921,1674,447,422,65,45
93年,16626,14980,11332,10121,10007,9260,12513,11560,8025,7461,12058,10861,2179,2017,3031,2708,3098,2605,7181,6363,2643,2464,3922,3434,2999,2697,4204,3699,1165,1091,1656,1484,459,433,1591,1459,2408,2152,1162,1042,355,349,49,33,18160,16360,12599,11696,11183,9992,13648,12617,8874,7975,13228,12305,2407,2206,3140,2929,3255,2793,7794,6940,2859,2611,4487,3942,3288,3046,4560,4321,1346,1191,1795,1640,559,452,1775,1530,2413,2191,1256,1151,385,346,62,42,19295,17473,13922,12711,12121,11102,15324,14030,9492,8628,14413,13189,2532,2331,3481,3096,3591,3110,8180,7393,3174,2982,4512,4224,3515,3219,4974,4663,1423,1386,1913,1744,514,494,1930,1767,2706,2374,1423,1252,408,338,57,46,20438,18712,14120,13271,12718,11604,16209,15090,9988,9325,14896,13746,2659,2467,3579,3127,3510,3183,8290,7669,3266,3038,4688,4216,3515,3178,5090,4800,1478,1341,1977,1864,553,508,2071,1807,2727,2480,1530,1396,403,377,50,50
94年,15495,14413,10682,9580,9632,8858,11916,10880,7749,7048,11558,10610,2002,1868,2898,2596,2723,2400,6374,5963,2441,2284,3593,3241,2779,2559,3867,3615,1144,1033,1464,1397,407,406,1507,1350,2220,2073,975,902,378,350,60,41,17737,15937,12103,10883,10784,9886,13405,12410,8371,7765,12625,11489,2242,2093,3175,2878,3184,2667,7460,6617,2735,2514,4012,3538,3030,2747,4371,3855,1233,1139,1725,1552,463,438,1668,1535,2510,2260,1248,1121,406,378,49,34,18307,16390,12544,11687,11399,10251,13800,12721,8870,7973,13197,12340,2376,2202,3168,2951,3219,2772,7693,6856,2824,2575,4383,3824,3182,2980,4515,4260,1345,1152,1780,1656,545,444,1775,1524,2445,2218,1295,1177,403,368,62,44,19535,17735,13726,12609,12374,11333,15495,14168,9478,8585,14405,13176,2488,2287,3510,3129,3551,3061,8093,7313,3101,2896,4365,4061,3375,3113,4875,4580,1406,1342,1898,1742,502,486,1912,1746,2734,2381,1482,1310,417,344,54,46
95年,15869,14446,10515,9732,9701,8680,11817,10667,7581,6905,11238,10387,1914,1818,2942,2730,2604,2419,6416,5682,2308,2107,3356,3005,2548,2311,3767,3406,1106,1008,1503,1330,423,385,1422,1372,2349,2225,1028,997,403,377,49,39,16581,15395,11660,10504,10414,9561,12866,11748,8157,7464,12223,11271,2097,1950,3085,2776,2817,2496,6697,6273,2560,2377,3797,3386,2845,2637,4029,3735,1193,1089,1536,1481,415,422,1564,1424,2331,2169,1055,993,401,391,60,43,17797,16016,12170,10922,10986,10065,13543,12609,8370,7771,12663,11492,2220,2075,3225,2932,3135,2635,7402,6561,2666,2473,3894,3437,2945,2643,4302,3788,1209,1117,1713,1522,451,429,1658,1522,2526,2274,1276,1156,427,399,51,32,18562,16601,12441,11531,11621,10487,14062,12934,8849,7929,13205,12367,2336,2162,3191,2983,3179,2753,7606,6735,2717,2525,4209,3663,3069,2846,4386,4152,1306,1106,1750,1623,537,430,1760,1531,2462,2245,1340,1261,398,364,63,42
96年,15907,14464,10683,10064,9758,8790,11885,11173,7581,6832,11355,10141,1850,1712,3055,2780,2634,2331,6191,5480,2225,2056,3198,2859,2368,2137,3530,3184,1029,938,1391,1278,386,352,1422,1319,2395,2291,1038,963,495,398,58,45,17181,15631,11551,10744,10403,9357,12854,11557,8039,7329,12015,11099,2016,1896,3148,2922,2708,2532,6726,5972,2397,2218,3519,3158,2627,2380,3940,3562,1169,1070,1584,1414,441,413,1527,1462,2477,2352,1124,1098,430,394,53,42,16582,15538,11791,10539,10580,9650,13010,11918,8166,7477,12260,11326,2082,1936,3122,2780,2782,2475,6612,6189,2502,2341,3710,3314,2785,2554,3972,3670,1161,1059,1534,1468,419,421,1555,1419,2335,2200,1099,1039,413,396,64,43,17985,16187,12129,10840,11155,10190,13752,12775,8317,7730,12668,11512,2215,2071,3241,2949,3102,2611,7301,6480,2598,2418,3772,3331,2803,2557,4238,3707,1170,1097,1706,1500,440,417,1658,1527,2534,2281,1344,1174,414,389,49,35
97年,15993,14472,10248,9507,9533,8732,11555,10703,7264,6784,10851,10131,1838,1623,3138,2739,2460,2239,5912,5489,2039,1920,3172,2766,2279,2041,3386,3057,1012,877,1359,1229,375,328,1384,1200,2615,2268,1099,907,476,473,50,45,17191,15692,11771,11161,10487,9513,12925,12110,8005,7248,12035,10755,1962,1790,3261,2997,2768,2425,6490,5728,2332,2154,3336,2977,2422,2228,3694,3283,1076,971,1469,1362,401,364,1515,1393,2529,2406,1142,1012,538,416,65,47,17439,15958,11525,10661,10543,9501,13023,11697,8051,7311,11970,11107,2004,1883,3160,2918,2687,2479,6624,5888,2364,2183,3449,3066,2498,2294,3873,3509,1128,1030,1582,1404,440,397,1507,1436,2489,2379,1155,1118,442,398,49,41,16880,15879,11662,10377,10765,9765,13126,12129,8148,7464,12243,11335,2047,1908,3139,2800,2743,2450,6537,6099,2421,2284,3595,3203,2653,2446,3890,3570,1124,1019,1522,1424,401,422,1521,1402,2365,2212,1160,1078,407,394,59,43
98年,15937,14664,9711,9124,9231,8522,11269,10324,7025,6571,10429,9732,1828,1634,3034,2719,2321,2141,6076,5460,1915,1739,2957,2678,2131,1912,3096,2915,947,852,1302,1179,372,352,1245,1202,2599,2429,994,894,511,525,57,44,17243,15579,11229,10300,10172,9367,12343,11409,7615,7162,11412,10658,1903,1697,3301,2900,2562,2327,6116,5704,2122,2019,3290,2827,2296,2073,3471,3136,1069,909,1405,1289,403,350,1469,1271,2737,2374,1160,979,534,514,49,47,17630,16188,11691,11028,10577,9591,13104,12263,7992,7200,12011,10769,1950,1769,3269,2994,2747,2422,6365,5609,2286,2103,3281,2900,2346,2164,3611,3211,1046,969,1449,1349,412,369,1495,1388,2554,2416,1164,1035,564,441,62,44,17835,16283,11383,10521,10669,9589,13148,11859,8040,7293,11961,11130,1977,1869,3182,2907,2673,2485,6525,5771,2317,2136,3331,3002,2405,2171,3796,3432,1111,1022,1555,1396,441,398,1494,1418,2484,2389,1185,1138,453,415,49,42
99年,13403,12270,9705,8926,7769,7115,9631,8778,5834,5217,9033,8442,1647,1564,2457,2203,2031,1919,5057,4648,1644,1552,2536,2189,1669,1564,2660,2280,836,782,1175,1079,328,296,1009,970,2266,2054,861,785,526,481,49,42,16780,15405,11532,10812,9944,9124,12229,11131,7416,6925,11121,10366,1892,1706,3149,2838,2446,2235,6224,5629,2023,1813,3009,2726,2147,1934,3139,2971,955,908,1360,1228,383,375,1325,1250,2709,2520,1056,949,540,548,60,46,17241,15563,11728,10816,10328,9490,12495,11533,7603,7172,11406,10719,1863,1675,3281,2884,2550,2314,5996,5615,2057,1946,3222,2751,2216,1982,3399,3047,1049,891,1391,1260,402,349,1399,1211,2712,2320,1189,990,519,504,47,49,17527,16138,12056,11328,10823,9772,13258,12415,7951,7193,12016,10778,1910,1756,3242,2987,2698,2386,6257,5516,2248,2037,3184,2819,2263,2061,3500,3139,1011,959,1455,1347,403,359,1457,1360,2572,2394,1178,1049,542,427,62,44
100年,16740,15441,12866,12186,8858,8305,11826,10974,7128,6474,10674,9707,1737,1582,2745,2506,2502,2354,5653,5402,1694,1635,2660,2443,1757,1649,2606,2472,845,851,1361,1150,393,386,942,907,2632,2372,969,812,613,502,70,61,14143,12951,11597,10691,8220,7627,10537,9620,6327,5697,9469,8928,1666,1606,2598,2356,2176,2042,5174,4763,1737,1615,2601,2258,1676,1581,2751,2372,871,805,1251,1145,342,319,1055,1001,2363,2157,923,849,529,493,49,42,16593,15286,12359,11636,9886,9003,12390,11239,7561,7132,11127,10356,1869,1672,3184,2869,2437,2242,6049,5458,1971,1769,2932,2641,2065,1813,3027,2887,917,868,1329,1209,374,372,1258,1183,2676,2466,1035,957,533,548,65,49,17115,15404,12170,11224,10338,9490,12625,11712,7892,7425,11322,10633,1835,1650,3265,2897,2526,2306,5904,5521,1998,1896,3121,2676,2079,1864,3284,2936,1012,860,1369,1253,374,331,1372,1184,2722,2306,1213,1003,493,493,43,45
