,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　,44歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女
92年,31706,33797,22123,25030,14820,14853,20552,21375,16446,15221,22724,22729,3713,3474,3710,3137,4769,4043,10413,9327,4698,3982,6222,4709,4953,3778,7713,6785,1992,1702,2903,2763,754,625,3586,3311,3102,3010,2069,2094,425,334,115,66,30797,33091,22119,24593,14206,14107,19638,20045,15704,14862,22200,22573,3478,3364,3529,2909,4350,3695,10603,9193,4385,3765,5828,4411,4638,3545,7208,6460,1984,1686,2807,2578,720,628,3396,3308,3016,2933,2114,2119,464,389,104,61,28842,31127,21064,23557,13453,13383,18462,18831,15425,14008,21488,22131,3289,3123,3224,2759,4172,3627,9268,8442,4143,3623,5378,4258,4421,3251,7020,6580,1931,1580,2837,2517,725,565,3166,3097,2744,2784,1871,2021,543,462,100,76,30485,32276,22319,24483,13649,13785,19122,19516,15267,14344,22378,22722,3535,3259,3227,2797,4342,3628,10103,8886,4183,3682,5638,4541,4452,3433,6987,6575,1918,1595,2881,2547,699,562,3230,3221,2693,2867,2018,2048,489,438,103,75
93年,31868,33886,21828,24268,15238,15033,21151,21291,16373,15718,22937,23137,3805,3571,4044,3226,4767,3887,10487,9456,4648,3949,6098,4568,5062,3764,7758,6760,1997,1657,2886,2579,737,645,3492,3406,3180,3214,2175,2170,567,419,102,55,31618,33881,21834,24766,14875,14957,20471,21299,16370,15211,22590,22620,3693,3458,3712,3132,4735,4055,10362,9289,4665,3990,6182,4703,4941,3772,7653,6776,1975,1688,2879,2760,739,628,3581,3324,3078,2989,2051,2088,467,369,128,71,30687,33069,21847,24353,14220,14179,19575,20004,15656,14859,22064,22497,3467,3368,3521,2910,4316,3696,10558,9179,4329,3742,5789,4426,4617,3541,7138,6469,1959,1683,2769,2580,720,631,3377,3301,2998,2919,2090,2108,525,431,111,76,28794,31220,20778,23328,13432,13436,18394,18804,15337,14013,21375,22048,3286,3104,3231,2769,4158,3613,9215,8413,4119,3596,5347,4235,4382,3256,6943,6585,1911,1574,2804,2492,731,569,3144,3112,2708,2778,1835,2005,583,500,109,79
94年,31904,33955,21146,23673,15382,15498,21009,21925,16803,15918,23123,23203,3895,3549,3970,3437,4816,4129,10857,9548,4623,4079,6268,4619,5220,3820,7797,6948,2122,1611,2948,2717,807,658,3582,3351,3137,3125,2202,2239,567,398,100,78,31823,33974,21549,24062,15236,15073,21061,21235,16309,15705,22758,23066,3784,3552,4044,3258,4733,3890,10430,9446,4629,3971,6045,4561,5038,3778,7704,6767,1980,1668,2839,2593,745,655,3445,3372,3183,3196,2152,2159,655,470,115,58,31523,33884,21588,24497,14879,14982,20376,21293,16273,15198,22417,22577,3656,3476,3727,3139,4719,4056,10319,9275,4642,3986,6132,4721,4911,3797,7601,6773,1961,1703,2868,2739,754,643,3566,3322,3053,2988,2040,2067,558,414,148,80,30641,33164,21522,24076,14226,14237,19506,19948,15556,14822,21937,22442,3442,3378,3539,2959,4293,3685,10456,9152,4290,3736,5750,4441,4582,3586,7078,6477,1944,1686,2750,2574,725,631,3361,3306,2970,2907,2085,2087,594,482,123,88
95年,32245,34649,21277,24235,16375,16297,21609,22281,16451,15874,23393,23131,3827,3534,4173,3522,4765,3996,10668,9567,4671,4147,6361,4732,5132,3855,7792,6883,2092,1686,2910,2608,763,648,3517,3415,3352,3277,2160,2223,720,513,107,68,31855,34053,21134,23714,15382,15623,20966,21912,16758,15918,22957,23200,3873,3531,3988,3455,4803,4129,10806,9513,4592,4060,6194,4619,5173,3838,7743,6941,2102,1595,2918,2724,803,653,3563,3338,3110,3096,2180,2225,656,439,95,69,31703,34064,21572,24120,15299,15164,21001,21205,16208,15702,22610,23041,3773,3549,4036,3314,4729,3884,10365,9431,4629,3987,5977,4538,5002,3777,7663,6770,1952,1652,2811,2600,742,650,3421,3366,3141,3148,2134,2147,730,537,104,56,31477,34008,21595,24490,14904,15045,20266,21288,16157,15196,22324,22590,3625,3477,3768,3172,4696,4076,10250,9295,4606,3980,6032,4693,4880,3791,7541,6741,1943,1685,2839,2738,752,637,3542,3313,3021,2949,2018,2054,650,484,136,75
96年,32613,35468,21426,24712,16906,16876,21660,23160,16328,15681,23206,23076,3998,3553,4298,3743,4886,4175,10868,9687,4791,4103,6505,4823,5228,3862,7760,6667,2225,1791,2929,2541,783,599,3556,3370,3417,3291,2224,2382,774,545,131,60,32108,34674,21123,24055,16380,16349,21527,22267,16389,15852,23221,23152,3815,3545,4164,3559,4753,3984,10596,9564,4647,4130,6352,4728,5108,3846,7738,6849,2074,1689,2884,2603,768,653,3494,3413,3337,3262,2154,2205,793,575,111,73,31692,34158,21015,23475,15342,15664,20865,21886,16646,15912,22834,23140,3867,3528,3977,3456,4780,4144,10757,9499,4555,4065,6163,4638,5154,3821,7682,6944,2096,1595,2885,2718,803,664,3548,3335,3087,3077,2162,2187,709,481,99,71,31639,34136,21357,23869,15316,15148,20844,21179,16132,15685,22470,22987,3762,3549,4015,3327,4712,3893,10307,9422,4619,3981,5941,4534,4987,3769,7588,6788,1911,1644,2791,2587,748,658,3404,3364,3107,3118,2114,2143,804,594,109,62
97年,31964,34511,21146,24167,16675,16766,21637,23134,16049,15738,23204,22752,3920,3589,4251,3658,4718,3941,10547,9512,4554,3932,6373,4512,5090,3611,7717,6784,2167,1618,2918,2547,829,635,3513,3303,3328,3189,2150,2251,856,630,101,58,32556,35636,21251,24451,16903,16874,21566,23174,16233,15675,23103,23057,4008,3575,4274,3750,4863,4188,10787,9679,4754,4080,6471,4837,5200,3877,7710,6659,2204,1789,2903,2550,784,606,3510,3368,3413,3281,2208,2358,780,575,123,60,32099,34845,20936,23793,16366,16346,21465,22229,16315,15837,23049,23090,3827,3574,4163,3583,4721,4004,10540,9546,4601,4152,6319,4741,5071,3864,7688,6843,2051,1689,2870,2592,778,663,3459,3382,3322,3227,2143,2208,810,599,102,68,31552,34211,20841,23275,15306,15722,20727,21832,16560,15889,22736,23127,3860,3564,3964,3466,4753,4145,10676,9468,4558,4061,6137,4670,5156,3835,7608,6922,2086,1592,2871,2709,813,671,3532,3319,3080,3074,2155,2171,730,503,97,68
98年,31254,34225,20371,23481,16793,17032,21236,22426,15461,15302,22670,22343,3765,3456,4376,3824,4523,3806,10120,9128,4433,3847,6219,4678,4941,3679,7418,6642,2095,1665,2913,2555,803,649,3365,3293,3368,3341,2100,2269,908,692,117,74,31808,34582,20959,23938,16660,16809,21505,23028,15985,15738,23026,22728,3925,3615,4247,3695,4694,3957,10494,9533,4547,3963,6349,4561,5063,3662,7685,6795,2158,1653,2894,2564,848,661,3483,3301,3292,3188,2149,2236,924,772,107,54,32500,35851,20960,24199,16858,16942,21439,23108,16135,15704,22931,23040,4011,3596,4284,3783,4849,4231,10735,9671,4737,4115,6467,4872,5190,3906,7694,6668,2186,1817,2881,2562,804,623,3487,3361,3364,3258,2202,2356,847,712,125,63,31948,34942,20706,23496,16293,16371,21308,22165,16282,15862,22842,23081,3820,3599,4165,3623,4700,4026,10477,9532,4606,4149,6310,4783,5078,3890,7676,6889,2065,1719,2841,2608,812,689,3441,3389,3288,3220,2101,2195,872,740,102,73
99年,31073,34245,20031,23287,16674,17166,21377,23029,15858,15571,22986,22988,3874,3499,4368,3869,4602,3943,10447,9346,4475,3894,6716,4976,5059,3889,7745,6551,2173,1564,2847,2354,827,692,3285,3260,3287,3378,2330,2379,862,839,117,65,31236,34412,20251,23258,16820,17081,21153,22450,15382,15284,22571,22365,3737,3448,4348,3819,4490,3787,10054,9102,4417,3840,6157,4694,4914,3689,7364,6614,2077,1651,2896,2565,806,649,3341,3281,3339,3312,2065,2248,919,727,117,72,31828,34764,20733,23742,16629,16854,21434,22994,15912,15690,22933,22732,3902,3619,4230,3688,4664,3958,10389,9509,4496,3945,6311,4570,5009,3677,7623,6763,2129,1646,2869,2574,843,668,3433,3285,3265,3167,2135,2193,942,809,99,53,32460,35994,20783,24018,16868,17041,21376,23116,16070,15699,22757,23033,3985,3597,4250,3775,4827,4222,10666,9625,4702,4118,6432,4883,5147,3906,7633,6645,2177,1808,2853,2558,809,630,3463,3323,3340,3229,2181,2339,848,744,125,65
100年,29561,31289,18976,22367,15785,16030,20380,21727,14181,14306,22006,21326,3629,3280,4029,3651,4180,3594,9263,8496,3952,3554,5693,4130,4489,3441,7143,6100,2037,1656,2799,2392,831,647,3204,3009,3296,3196,2015,2156,801,714,103,54,30969,34266,19986,23163,16563,17140,21268,23024,15812,15547,22867,22983,3871,3495,4385,3876,4582,3955,10383,9320,4467,3896,6693,4990,5014,3893,7671,6510,2152,1558,2827,2355,816,706,3260,3251,3258,3354,2322,2366,923,924,116,65,31185,34421,20141,23092,16756,17063,21056,22400,15302,15282,22397,22339,3724,3456,4330,3829,4479,3771,10010,9074,4367,3844,6145,4705,4890,3693,7290,6597,2047,1651,2878,2582,810,659,3296,3273,3330,3313,2058,2266,996,814,121,72,31651,34786,20645,23550,16591,16853,21303,22991,15864,15671,22798,22737,3877,3610,4221,3693,4618,3981,10364,9474,4470,3942,6300,4560,4990,3706,7550,6745,2117,1651,2841,2581,849,675,3412,3281,3243,3129,2124,2175,998,886,101,54
